date,spot_price,portfolio_value_usd,daily_pnl_usd,cumulative_pnl_usd,spot_mtm_pnl_usd,futures_unrealized_pnl_usd,futures_realized_pnl_usd
2025-01-02,96984.785,1016307.3958210894,16307.39582108939,16307.39582108939,34888.653244819965,-18581.257423730545,0.0
2025-01-03,98163.92499999999,1016311.6387788992,4.242957809823565,16311.638778899214,47477.1518848198,-31165.51310592061,0.0
2025-01-04,98220.505,1017472.4281336569,1160.7893547576386,17472.428133656853,48081.19996481998,-30608.771831163114,0.0
2025-01-05,98343.17,1020886.7205135681,3414.2923799112905,20886.720513568143,49390.77150481991,-28504.050991251712,0.0
2025-01-06,102235.10500000001,1023359.7683959898,2473.0478824216407,23359.768395989784,90941.06956482003,-67581.3011688303,0.0
2025-01-07,96936.23000000001,1025119.3333764925,1759.564980502706,25119.33337649249,34370.280064820035,-8771.236580623254,-479.7101077043928
2025-01-08,95074.565,1025295.2498294928,175.9164530002745,25295.249829492765,14495.14452481995,11279.815412377246,-479.7101077043928
2025-01-09,92531.1,1024210.3136989024,-1084.9361305903876,24210.313698902377,-12658.887815180013,37348.911621786756,-479.7101077043928
2025-01-10,94726.10500000001,1026853.4927970332,2643.179098130786,26853.492797033163,10774.985564820037,16558.217339917555,-479.7101077043928
2025-01-11,94598.025,1028691.0150850759,1837.5222880427027,28691.015085075865,9407.603484819863,19763.121707960414,-479.7101077043928
2025-01-12,94518.685,1030165.6540280816,1474.6389430057025,30165.654028081568,8560.569644819901,22084.79449096602,-479.7101077043928
2025-01-13,94541.505,1028761.2023784807,-1404.4516496008728,28761.202378480695,8804.195964819975,20436.716521365113,-479.7101077043928
2025-01-14,96548.905,1029025.8441731517,264.6417946709553,29025.84417315165,30235.198364819913,-729.6440839637934,-479.7101077043928
2025-01-15,100497.35500000001,1028615.6278521055,-410.2163210461149,28615.627852105536,72388.85056482004,-43293.512605010044,-479.7101077043928
2025-01-16,100007.885,1028218.7839482477,-396.84390385786537,28218.78394824767,67163.26884481988,-38464.774788867806,-479.7101077043928
2025-01-17,104078.65,1030321.6667240384,2102.8827757907566,30321.666724038427,110622.75598481986,-79821.37915307717,-479.7101077043928
2025-01-18,104541.965,1033253.7056583106,2932.038934272132,33253.70565831056,115569.10692481989,-81835.69115880507,-479.7101077043928
2025-01-19,101275.995,1027967.771587854,-5285.93407045654,27967.77158785402,80701.61120481987,-52254.12950926137,-479.7101077043928
2025-01-20,102212.0,1033722.4920940311,5754.720506177051,33722.49209403107,90694.40058481993,-56492.19838308452,-479.7101077043928
2025-01-21,106171.905,1029201.1719307568,-4521.3201632743,29201.17193075677,132970.3463648199,-103289.46432635878,-479.7101077043928
2025-01-22,103690.795,1032489.8858332232,3288.713902466465,32489.885833223234,106482.0160048199,-73512.42006389228,-479.7101077043928
2025-01-23,103893.16,1030694.5934767032,-1795.2923565200763,30694.593476703158,108642.46474481997,-77468.16116041254,-479.7101077043928
2025-01-24,104857.995,1033639.7015045551,2945.1080278519075,33639.701504555065,118943.04320481987,-84823.63159256033,-479.7101077043928
2025-01-25,104746.86,1034755.5475538524,1115.8460492973682,34755.54755385243,117756.56594481993,-82521.30828326309,-479.7101077043928
2025-01-26,102656.005,1033057.5733625386,-1697.9741913138423,33057.57336253859,95434.59796481997,-61897.31449457697,-479.7101077043928
2025-01-27,102096.775,1033570.7462074197,513.1728448810754,33570.74620741967,89464.25848481986,-55413.8021696959,-479.7101077043928
2025-01-28,101362.765,1036174.2632858314,2603.5170784117654,36174.26328583143,81627.96772481992,-44973.99433128412,-479.7101077043928
2025-01-29,103720.875,1037641.5783849146,1467.31509908312,37641.57838491455,106803.15008481992,-68681.86159220096,-479.7101077043928
2025-01-30,104722.945,1042352.3892415806,4710.810856666067,42352.38924158062,117501.24940482,-74669.15005553485,-479.7101077043928
2025-01-31,102422.305,1040828.474114967,-1523.915126613574,40828.474114967044,92939.61676481985,-51631.432542148454,-479.7101077043928
2025-02-01,100657.665,1040943.5295562883,115.05544132122304,40943.52955628827,74100.32012481986,-32677.080460827176,-479.7101077043928
2025-02-02,97704.91500000001,1045925.5831779547,4982.0536216663895,45925.58317795466,42576.76112482001,3594.223649510645,-245.40159637592583
2025-02-03,101308.725,1047074.1503407052,1148.5671627505217,47074.15034070518,81051.03668481999,-33731.484747738774,-245.40159637592583
2025-02-04,97794.15,1050023.0846097565,2948.9342690513004,50023.08460975648,43529.433984819865,6739.052221312627,-245.40159637592583
2025-02-05,96605.515,1051300.6269691426,1277.542359386105,51300.626969142584,30839.56672481992,20706.46184069861,-245.40159637592583
2025-02-06,96565.41,1051177.8365639595,-122.79040518309921,51177.836563959485,30411.405744819964,21011.832415515375,-245.40159637592583
2025-02-07,96505.67,1054385.0312858946,3207.194721935084,54385.03128589457,29773.62150481991,24856.8113774507,-245.40159637592583
2025-02-08,96441.73000000001,1055272.37213349,887.340847595362,55272.37213348993,29090.998064820036,26426.775665045723,-245.40159637592583
2025-02-09,96465.58499999999,1054418.7148313564,-853.6573021335062,54418.714831356425,29345.67404481984,25318.44238291268,-245.40159637592583
2025-02-10,97438.79000000001,1057270.0541531933,2851.339321836829,57270.054153193254,39735.610624820016,17779.845124749183,-245.40159637592583
2025-02-11,95769.1,1056655.9561120467,-614.098041146528,56655.956112046726,21910.000184819986,34991.35752360269,-245.40159637592583
2025-02-12,97878.99,1057368.0582514922,712.1021394454874,57368.05825149221,44435.18582481998,13178.274023048274,-245.40159637592583
2025-02-13,96604.82,1058254.9872047605,886.9289532683324,58254.987204760546,30832.14690482,27668.241896316427,-245.40159637592583
2025-02-14,97505.35,1059369.07979824,1114.092593479436,59369.07979823998,40446.20518481999,19168.276209795975,-245.40159637592583
2025-02-15,97569.66500000001,1060023.7041441076,654.6243458676618,60023.70414410764,41132.832124820015,19136.273615663613,-245.40159637592583
2025-02-16,96140.725,1059681.5425985344,-342.1615455732681,59681.542598534375,25877.46868481999,34049.47551009025,-245.40159637592583
2025-02-17,95781.61,1062952.5990468026,3271.0564482682385,62952.599046802614,22043.55694481993,41154.44369835853,-245.40159637592583
2025-02-18,95650.505,1062481.1746430567,-471.4244037459139,62481.1746430567,20643.879964819975,42082.6962746126,-245.40159637592583
2025-02-19,96644.37,1063685.8742991898,1204.6996561330743,63685.874299189774,31254.382704819876,32676.893190745828,-245.40159637592583
2025-02-20,98300.505,1065088.9324991044,1403.058199914638,65088.93249910441,48935.27996481997,16399.054130660395,-245.40159637592583
2025-02-21,96178.41,1064266.6350955989,-822.2974035055377,64266.635095598875,26279.793744819963,38232.242947154824,-245.40159637592583
2025-02-22,96551.005,1063998.8002621946,-267.8348334042821,63998.80026219459,30257.617964819976,33986.58389375047,-245.40159637592583
2025-02-23,96256.35,1063853.2739071609,-145.5263550337404,63853.27390716085,27111.881184819988,36986.79431871687,-245.40159637592583
2025-02-24,91489.91,1063823.4037719013,-29.87013525958173,63823.40377190127,-23774.632255180037,82251.63984932468,5346.396177756519
2025-02-25,88708.65,1059386.4950320097,-4436.908739891602,59386.49503200967,-53467.36401518014,107507.4628694333,5346.396177756519
2025-02-26,84238.695,1055290.4619375395,-4096.033094470156,55290.46193753951,-101188.60359518,139155.94302336255,17323.122509356945
2025-02-27,84746.815,1055006.0356092027,-284.42632833682,55006.03560920269,-95763.91447518005,133446.8275750257,17323.122509356945
2025-02-28,84382.245,1056515.804775007,1509.7691658043768,56515.80477500707,-99656.06379518013,138848.7460608302,17323.122509356945
2025-03-01,86073.67,1059961.5787866309,3445.774011623813,59961.57878663088,-81598.4104951801,124236.86677245384,17323.122509356945
2025-03-02,94254.055,1077990.0687816988,18028.48999506794,77990.06878169882,5735.379764819851,54931.56650752179,17323.122509356945
2025-03-03,86191.265,1072129.947704005,-5860.121077693766,72129.94770400506,-80342.96627518008,123586.24476849452,28886.66921069076
2025-03-04,87264.15,1076350.6741910547,4220.7264870496,76350.67419105466,-68888.84601518014,116352.85099554413,28886.66921069076
2025-03-05,90620.995,1080931.2770528477,4580.602861793013,80931.27705284767,-33051.16879518012,85095.77663733695,28886.66921069076
2025-03-06,89922.28,1079994.6679168441,-936.6091360035352,79994.66791684413,-40510.65013518009,91618.64884133346,28886.66921069076
2025-03-07,86789.695,1075142.237058905,-4852.43085793918,75142.23705890495,-73954.12759518,120209.69544339422,28886.66921069076
2025-03-08,86199.465,1073989.5129558453,-1152.7241030596197,73989.51295584533,-80255.42307518011,125358.26682033473,28886.66921069076
2025-03-09,80664.94,1063706.0468508604,-10283.466104984982,63706.04685086035,-139342.01197518004,162994.77150265063,40053.28732338977
2025-03-10,78529.86499999999,1058567.0564317938,-5138.990419066511,58567.05643179384,-162136.07267518018,180649.84178358424,40053.28732338977
2025-03-11,82905.64499999999,1069390.337989227,10823.281557433074,69390.33798922691,-115420.24539518019,144757.29606101735,40053.28732338977
2025-03-12,83650.375,1070455.2185572744,1064.8805680475198,70455.21855727443,-107469.50791518007,137871.43914906486,40053.28732338977
2025-03-13,81100.94,1064308.685101814,-6146.533455460332,64308.6851018141,-134687.27597518006,158942.67375360455,40053.28732338977
2025-03-14,83971.515,1072564.9847884253,8256.299686611164,72564.98478842527,-104041.01727518009,136552.71474021557,40053.28732338977
2025-03-15,84338.435,1073545.0939788197,980.1091903944034,73545.09397881967,-100123.7793551801,133615.58601061,40053.28732338977
2025-03-16,82568.715,1069450.073901267,-4095.0200775526464,69450.07390126702,-119017.31007518011,148414.0966530574,40053.28732338977
2025-03-17,84032.13,1072598.7976136568,3148.723712389823,72598.79761365685,-103393.89153518002,135939.40182544716,40053.28732338977
2025-03-18,82723.485,1072372.3629891956,-226.4346244612243,72372.36298919562,-117364.98555518007,149684.06122098598,40053.28732338977
2025-03-19,86834.485,1081123.544406869,8751.18141767336,81123.54440686898,-73475.94955518006,114546.2066386594,40053.28732338977
2025-03-20,84202.575,1078223.7184862539,-2899.8259206151124,78223.71848625387,-101574.22071518011,139744.65187804424,40053.28732338977
2025-03-21,84084.59,1078605.602122816,381.8836365621537,78605.60212281602,-102833.82857518012,141386.14337460656,40053.28732338977
2025-03-22,83840.58499999999,1077774.5788288,-831.0232940160204,77774.5788288,-105438.82595518016,143160.11746059053,40053.28732338977
2025-03-23,86059.965,1081418.3080409418,3643.7292121418286,81418.30804094183,-81744.72507518012,123109.74579273234,40053.28732338977
2025-03-24,87496.905,1083744.4104894274,2326.102448485559,83744.41048942739,-66403.95363518009,110095.0768012179,40053.28732338977
2025-03-25,87399.64,1082403.9162322807,-1340.4942571467254,82403.91623228067,-67442.35477518008,109792.98368407102,40053.28732338977
2025-03-26,86897.75,1083019.9019911329,615.9857588522136,83019.90199113288,-72800.53241518007,115767.14708292318,40053.28732338977
2025-03-27,87233.255,1084249.3429116516,1229.4409205187112,84249.34291165159,-69218.68103518002,113414.73662344177,40053.28732338977
2025-03-28,84406.19,1065935.9535947302,-18313.389316921355,65935.95359473024,-99400.42697518005,125283.09324652054,40053.28732338977
2025-03-29,82637.23499999999,1064603.0567223886,-1332.8968723416328,64603.0567223886,-118285.79055518023,135932.61164139892,46956.23563616995
2025-03-30,82369.875,1064164.352102068,-438.70462032058276,64164.35210206802,-121140.12591518008,138348.24238107813,46956.23563616995
2025-03-31,82565.04000000001,1065622.9374903883,1458.5853883202653,65622.93749038829,-119056.54437517999,137723.24622939833,46956.23563616995
2025-04-01,85160.36,1081682.0628517503,16059.125361362007,81682.06285175029,-91348.90805518007,126074.73527076037,46956.23563616995
2025-04-02,82513.39499999999,1078495.2752942955,-3186.7875574547797,78495.27529429551,-119607.9063951802,151146.94605330564,46956.23563616995
2025-04-03,83173.98999999999,1077799.9808699486,-695.294424346881,77799.98086994863,-112555.39417518018,143399.13940895896,46956.23563616995
2025-04-04,83881.495,1079124.6979546198,1324.7170846711379,79124.69795461977,-105002.07079518013,137170.53311363005,46956.23563616995
2025-04-05,83538.85500000001,1079059.1678087513,-65.53014586842619,79059.16780875134,-108660.09543517996,140763.02760776144,46956.23563616995
2025-04-06,78376.83,1071015.177456263,-8043.990352488356,71015.17745626299,-163769.87433518007,178162.72201171226,56622.32977973082
2025-04-07,79188.28,1071479.8071462556,464.6296899926383,71479.80714625563,-155106.83413518008,169964.31150170485,56622.32977973082
2025-04-08,76337.945,1063290.3191604237,-8189.487985831918,63290.31916042371,-185537.01059518,192204.9999758729,56622.32977973082
2025-04-09,82607.675,1077814.5781356876,14524.258975263918,77814.57813568763,-118601.37311518005,139793.62147113675,56622.32977973082
2025-04-10,79633.97,1074236.1069766309,-3578.4711590567604,74236.10697663086,-150348.64769518006,167962.4248920801,56622.32977973082
2025-04-11,83428.62,1082380.3973094933,8144.290332862409,82380.39730949327,-109836.96429518012,135595.03182494268,56622.32977973082
2025-04-12,85289.72,1085278.4402903148,2898.0429808215704,85278.44029031484,-89967.86069518006,118623.97120576393,56622.32977973082
2025-04-13,83737.0,1082137.4127311113,-3141.0275592035614,82137.41273111128,-106544.69941518008,132059.78236656066,56622.32977973082
2025-04-14,84579.565,1084919.736880317,2782.324149205815,84919.7368803171,-97549.47547518005,125846.88257576627,56622.32977973082
2025-04-15,83662.375,1082057.3456941238,-2862.39118619333,82057.34569412377,-107341.39591518008,132776.41182957307,56622.32977973082
2025-04-16,84034.79999999999,1082825.8074186791,768.4617245553527,82825.80741867912,-103365.3866151802,129568.86425412855,56622.32977973082
2025-04-17,84926.09,1085096.2316789778,2270.4242602987215,85096.23167897784,-93849.97457518011,122323.87647442704,56622.32977973082
2025-04-18,84482.77,1084327.481846123,-768.749832854839,84327.481846123,-98582.85889518003,126288.01096157232,56622.32977973082
2025-04-19,85072.04000000001,1084485.4275790793,157.94573295628652,84485.42757907929,-92291.81237517999,120154.91017452836,56622.32977973082
2025-04-20,85182.9,1085833.6655246774,1348.2379455980845,85833.66552467737,-91108.27101518014,120319.60676012674,56622.32977973082
2025-04-21,87515.58499999999,1090958.0739078275,5124.408383150119,90958.0739078275,-66204.52595518016,100540.27008327686,56622.32977973082
2025-04-22,93417.15,1097403.3797954202,6445.305887592724,97403.37979542022,-3199.418015180137,43980.468030869575,56622.32977973082
2025-04-23,93692.565,1097919.0061971594,515.626401739195,97919.00619715941,-259.0874751800497,41555.76389260862,56622.32977973082
2025-04-24,93951.735,1097596.2581129016,-322.7480842578225,97596.25811290159,2507.8114448199317,38466.1168883509,56622.32977973082
2025-04-25,94653.22,1097609.782950173,13.524837271310389,97609.7829501729,9996.865304819938,30990.58786562227,56622.32977973082
2025-04-26,94617.685,1096704.9011177304,-904.8818324424792,96704.90111773042,9617.4936448199,30465.077693179588,56622.32977973082
2025-04-27,93738.725,1097551.875783999,846.9746662685648,97551.87578399898,233.71668481998756,40695.82931944812,56622.32977973082
2025-04-28,94981.78,1098240.372707707,688.4969237081241,98240.37270770711,13504.571864819913,28113.471063156332,56622.32977973082
2025-04-29,94262.01500000001,1096930.708420107,-1309.6642876002006,96930.70842010691,5820.360724820074,34488.01791555603,56622.32977973082
2025-04-30,94182.465,1097156.0459240733,225.3375039664097,97156.04592407332,4971.084924819888,35562.631219522635,56622.32977973082
2025-05-01,96491.18,1098893.2900542852,1737.2441302118823,98893.2900542852,29618.926264819853,12652.034009734538,56622.32977973082
2025-05-02,96887.13500000001,1100483.376449116,1590.0863948308397,100483.37644911604,33846.14184482003,10014.90482456523,56622.32977973082
2025-05-03,95873.205,1100541.3128432739,57.93639415781945,100541.31284327386,23021.425164819946,20897.557898723204,56622.32977973082
2025-05-04,94305.45,1101817.1186659439,1275.805822669994,101817.11866594385,6284.072784819895,38910.7161013931,56622.32977973082
2025-05-05,94741.435,1101285.3257793353,-531.7928866085131,101285.32577933534,10938.648644819901,33724.34735478474,56622.32977973082
2025-05-06,96814.22,1103087.9681153514,1802.6423360160552,103087.9681153514,33067.70130481994,13397.937030800602,56622.32977973082
2025-05-07,97025.245,1103544.230800128,456.26268477668054,103544.23080012808,35320.60420481988,11601.296815577429,56622.32977973082
2025-05-08,103259.13500000001,1105593.139347622,2048.908547493862,105593.13934762194,101873.61384482002,-52902.80427692897,56622.32977973082
2025-05-09,102971.995,1106130.3284903818,537.1891427598894,106130.32849038183,98808.10720481988,-49300.10849416882,56622.32977973082
2025-05-10,104746.035,1104257.049634003,-1873.2788563787472,104257.04963400308,117747.75824481997,-70113.03839054774,56622.32977973082
2025-05-11,104125.425,1104531.334278866,274.28464486286975,104531.33427886595,111122.12588481996,-63213.1213856848,56622.32977973082
2025-05-12,102793.255,1105783.862019762,1252.527740895981,105783.86201976193,96899.87896481997,-47738.346724788935,56622.32977973082
2025-05-13,104113.22,1104071.0460528773,-1712.8159668846056,104071.04605287733,110991.82530481994,-63543.10903167335,56622.32977973082
2025-05-14,103507.82500000001,1105042.1669115033,971.1208586259745,105042.1669115033,104528.62828482005,-56108.7911530477,56622.32977973082
2025-05-15,103745.85,1106319.9873514492,1277.8204399459064,106319.9873514492,107069.78318481999,-57372.125613101656,56622.32977973082
2025-05-16,103467.04500000001,1106556.0136817642,236.0263303150423,106556.01368176425,104093.26100482006,-54159.577102786585,56622.32977973082
2025-05-17,103121.445,1107881.1018930974,1325.0882113331463,107881.1018930974,100403.63540482,-49144.86329145357,56622.32977973082
2025-05-18,106440.745,1103621.3852298367,-4259.716663260711,103621.38522983668,135840.48220481988,-88841.42675471389,56622.32977973082
2025-05-19,105574.98000000001,1105769.0788152998,2147.693585463101,105769.07881529978,126597.57506482003,-77450.82602925108,56622.32977973082
2025-05-20,106810.76999999999,1105035.092547992,-733.9862673077732,105035.09254799201,139790.8691048198,-91378.1063365586,56622.32977973082
2025-05-21,109644.43,1102803.7725729865,-2231.3199750054628,102803.77257298655,170043.02326481984,-123861.58047156395,56622.32977973082
2025-05-22,111706.775,1100111.2996959272,-2692.4728770593647,100111.29969592718,192060.61848481986,-148571.64856862352,56622.32977973082
2025-05-23,107274.18,1105605.741935441,5494.442239513854,105605.74193544104,144738.23426481985,-95754.82210910963,56622.32977973082
2025-05-24,107771.235,1105678.9737078103,73.23177236923948,105678.97370781028,150044.79344481992,-100988.14951674062,56622.32977973082
2025-05-25,109006.065,1104404.8049088407,-1274.168798969593,104404.80490884068,163227.83852481996,-115445.36339571027,56622.32977973082
2025-05-26,109441.81,1103913.752873911,-491.05203492962755,103913.75287391106,167879.85214481992,-120588.42905063972,56622.32977973082
2025-05-27,108938.16500000001,1104625.6428885753,711.89001466427,104625.64288857533,162502.93812482,-114499.62501597572,56622.32977973082
2025-05-28,107777.61499999999,1106286.4010012245,1660.7581126492005,106286.40100122453,150112.90632481984,-100448.83510332633,56622.32977973082
2025-05-29,105619.04999999999,1109588.614105556,3302.2131043314002,109588.61410555593,127068.0663848198,-74101.78205899481,56622.32977973082
2025-05-30,103960.25,1111883.4325053971,2294.8183998411987,111883.43250539713,109358.71758481993,-51292.45065109736,53817.16557167459
2025-05-31,104593.92000000001,1111711.820852939,-171.6116524580866,111711.82085293904,116123.77850482006,-58229.12322355546,53817.16557167459
2025-06-01,105619.435,1110942.8478052355,-768.9730477035046,110942.84780523553,127072.1766448199,-69946.49441125905,53817.16557167459
2025-06-02,105841.22,1111006.56594521,63.7181399744004,111006.56594520994,129439.95330481994,-72250.55293128458,53817.16557167459
2025-06-03,105365.92499999999,1111474.2517436398,467.685798429884,111474.25174363982,124365.7038848198,-66708.6177128545,53817.16557167459
2025-06-04,104688.475,1113130.7617482329,1656.5100045930594,113130.76174823288,117133.24768481999,-57819.65150826165,53817.16557167459
2025-06-05,101503.61,1115108.3910599723,1977.629311739467,115108.39105997235,83131.62894481994,-21840.403456522185,53817.16557167459
2025-06-06,104289.54999999999,1112897.6646789182,-2210.726381054148,112897.6646789182,112874.3243848198,-53793.82527757618,53817.16557167459
2025-06-07,105546.07500000001,1113283.477698476,385.813019557856,113283.47769847605,126288.98528482005,-66822.67315801831,53817.16557167459
2025-06-08,105734.035,1112813.7563615516,-469.72133692447096,112813.75636155158,128295.64624481996,-69299.05545494321,53817.16557167459
2025-06-09,110255.495,1111588.4680635338,-1225.288298017811,111588.46806353377,176566.7532048199,-118795.45071296072,53817.16557167459
2025-06-10,110260.53,1111212.572359756,-375.89570377767086,111212.5723597561,176620.5068648199,-119225.1000767386,53817.16557167459
